name,affiliation,home_page,google_profile,keywords,most_cited_paper,cited_by,most_cited_year
Christian Keitel,"Lecturer in Psychology, University of Stirling",Christian Keitel,Christian Keitel,Christian Keitel,Christian Keitel,Christian Keitel,Christian Keitel
Joachim Gross,"Professor, University of Muenster, University of Glasgow",Joachim Gross,Joachim Gross,Joachim Gross,Joachim Gross,Joachim Gross,Joachim Gross
Ingmar E.J. de Vries,"Postdoc, CIMeC, University of Trento",Ingmar E.J. de Vries,Ingmar E.J. de Vries,Ingmar E.J. de Vries,Ingmar E.J. de Vries,Ingmar E.J. de Vries,Ingmar E.J. de Vries
David Melcher,University of Trento,David Melcher,David Melcher,David Melcher,David Melcher,David Melcher,David Melcher
Steffen Gutmann,Waymo,Steffen Gutmann,Steffen Gutmann,Steffen Gutmann,Steffen Gutmann,Steffen Gutmann,Steffen Gutmann
Paolo Pirjanian,Aalborg university,Paolo Pirjanian,Paolo Pirjanian,Paolo Pirjanian,Paolo Pirjanian,Paolo Pirjanian,Paolo Pirjanian
Dhiraj Goel,Carnegie Mellon University,Dhiraj Goel,Dhiraj Goel,Dhiraj Goel,Dhiraj Goel,Dhiraj Goel,Dhiraj Goel
Luis Goncalves,Unknown affiliation,Luis Goncalves,Luis Goncalves,Luis Goncalves,Luis Goncalves,Luis Goncalves,Luis Goncalves
Niklas Karlsson,Chief Scientist and Vice President of R&D at Verizon Media,Niklas Karlsson,Niklas Karlsson,Niklas Karlsson,Niklas Karlsson,Niklas Karlsson,Niklas Karlsson
Mohamed Aly,Waymo,Mohamed Aly,Mohamed Aly,Mohamed Aly,Mohamed Aly,Mohamed Aly,Mohamed Aly
Jim Ostrowski,"Assistant Professor of Mechanical Engineering and Applied Mechanics, University of Pennsylvania",Jim Ostrowski,Jim Ostrowski,Jim Ostrowski,Jim Ostrowski,Jim Ostrowski,Jim Ostrowski
Jason Meltzer,iRobot,Jason Meltzer,Jason Meltzer,Jason Meltzer,Jason Meltzer,Jason Meltzer,Jason Meltzer
David Lowe,"Professor Emeritus, Computer Science Dept., University of British Columbia",David Lowe,David Lowe,David Lowe,David Lowe,David Lowe,David Lowe
Alexander Kleiner,Bosch Corporate Research,Alexander Kleiner,Alexander Kleiner,Alexander Kleiner,Alexander Kleiner,Alexander Kleiner,Alexander Kleiner
Andreas Kolling,Amazon Robotics,Andreas Kolling,Andreas Kolling,Andreas Kolling,Andreas Kolling,Andreas Kolling,Andreas Kolling
Nandan Banerjee,"R&D Organization, iRobot Corporation",Nandan Banerjee,Nandan Banerjee,Nandan Banerjee,Nandan Banerjee,Nandan Banerjee,Nandan Banerjee
Qiguang Lin,AgileSpeech,Qiguang Lin,Qiguang Lin,Qiguang Lin,Qiguang Lin,Qiguang Lin,Qiguang Lin
Jimmy Briggs,iRobot,Jimmy Briggs,Jimmy Briggs,Jimmy Briggs,Jimmy Briggs,Jimmy Briggs,Jimmy Briggs
Dimitri Lisin,"iRobot, Inc.",Dimitri Lisin,Dimitri Lisin,Dimitri Lisin,Dimitri Lisin,Dimitri Lisin,Dimitri Lisin
Kazuhiro Kosuge,Tohoku University,Kazuhiro Kosuge,Kazuhiro Kosuge,Kazuhiro Kosuge,Kazuhiro Kosuge,Kazuhiro Kosuge,Kazuhiro Kosuge
Martin Llofriu,University of South Florida,Martin Llofriu,Martin Llofriu,Martin Llofriu,Martin Llofriu,Martin Llofriu,Martin Llofriu
Marco Baroni,ICREA Professor (Barcelona) and FAIR Research Scientist (Paris),Marco Baroni,Marco Baroni,Marco Baroni,Marco Baroni,Marco Baroni,Marco Baroni
Todd Gureckis,"Professor of Psychology, New York University",Todd Gureckis,Todd Gureckis,Todd Gureckis,Todd Gureckis,Todd Gureckis,Todd Gureckis
Jason Gross,"Graduate, Massachusetts Institute of Technology",Jason Gross,Jason Gross,Jason Gross,Jason Gross,Jason Gross,Jason Gross
Anselm Rothe,New York University,Anselm Rothe,Anselm Rothe,Anselm Rothe,Anselm Rothe,Anselm Rothe,Anselm Rothe
Reuben Feinman,New York University,Reuben Feinman,Reuben Feinman,Reuben Feinman,Reuben Feinman,Reuben Feinman,Reuben Feinman
Laura Ruis,New York University,Laura Ruis,Laura Ruis,Laura Ruis,Laura Ruis,Laura Ruis,Laura Ruis
James L. McClelland,Stanford University,James L. McClelland,James L. McClelland,James L. McClelland,James L. McClelland,James L. McClelland,James L. McClelland
Maxwell Nye,Ph.D. candidate at MIT,Maxwell Nye,Maxwell Nye,Maxwell Nye,Maxwell Nye,Maxwell Nye,Maxwell Nye
Wai Keen Vong,New York University,Wai Keen Vong,Wai Keen Vong,Wai Keen Vong,Wai Keen Vong,Wai Keen Vong,Wai Keen Vong
Kanishk Gandhi,New York University,Kanishk Gandhi,Kanishk Gandhi,Kanishk Gandhi,Kanishk Gandhi,Kanishk Gandhi,Kanishk Gandhi
Wojciech Zaremba,"Co-Founder of OpenAI. Head of Language and Codegen teams. Driving research on Codex, and GPT-(n+1).",Wojciech Zaremba,Wojciech Zaremba,Wojciech Zaremba,Wojciech Zaremba,Wojciech Zaremba,Wojciech Zaremba
Tal Linzen,New York University,Tal Linzen,Tal Linzen,Tal Linzen,Tal Linzen,Tal Linzen,Tal Linzen
Jacob Andreas,MIT,Jacob Andreas,Jacob Andreas,Jacob Andreas,Jacob Andreas,Jacob Andreas,Jacob Andreas
Diane Bouchacourt,Facebook AI Research,Diane Bouchacourt,Diane Bouchacourt,Diane Bouchacourt,Diane Bouchacourt,Diane Bouchacourt,Diane Bouchacourt
Chia-ying (Jackie) Lee,"Graduate student of Computer Science, MIT",Chia-ying (Jackie) Lee,Chia-ying (Jackie) Lee,Chia-ying (Jackie) Lee,Chia-ying (Jackie) Lee,Chia-ying (Jackie) Lee,Chia-ying (Jackie) Lee
Tim Buschman,"Assistant Professor, Princeton University",Tim Buschman,Tim Buschman,Tim Buschman,Tim Buschman,Tim Buschman,Tim Buschman
David J. Freedman,The University of Chicago,David J. Freedman,David J. Freedman,David J. Freedman,David J. Freedman,David J. Freedman,David J. Freedman
Gregor Rainer,"Professor, University of Fribourg",Gregor Rainer,Gregor Rainer,Gregor Rainer,Gregor Rainer,Gregor Rainer,Gregor Rainer
Joni Wallis,University of California at Berkeley,Joni Wallis,Joni Wallis,Joni Wallis,Joni Wallis,Joni Wallis,Joni Wallis
Mikael Lundqvist,Karolinska Institute & MIT,Mikael Lundqvist,Mikael Lundqvist,Mikael Lundqvist,Mikael Lundqvist,Mikael Lundqvist,Mikael Lundqvist
Melissa R. Warden,"Assistant Professor of Neurobiology and Behavior, Cornell University",Melissa R. Warden,Melissa R. Warden,Melissa R. Warden,Melissa R. Warden,Melissa R. Warden,Melissa R. Warden
Wael Asaad,"Associate Professor of Neurosurgery & Neuroscience, Brown University",Wael Asaad,Wael Asaad,Wael Asaad,Wael Asaad,Wael Asaad,Wael Asaad
Markus Siegel,"Director, Dept. of Neural Dynamics and Magnetoencephalography, HIH Tübingen",Markus Siegel,Markus Siegel,Markus Siegel,Markus Siegel,Markus Siegel,Markus Siegel
Stefano Fusi,Columbia University,Stefano Fusi,Stefano Fusi,Stefano Fusi,Stefano Fusi,Stefano Fusi,Stefano Fusi
Jefferson Roy,"Research Scientist, MIT",Jefferson Roy,Jefferson Roy,Jefferson Roy,Jefferson Roy,Jefferson Roy,Jefferson Roy
Jonathan D. Cohen,"Professor of Psychology, Co-Director of Princeton Neuroscience Institute, Princeton University",Jonathan D. Cohen,Jonathan D. Cohen,Jonathan D. Cohen,Jonathan D. Cohen,Jonathan D. Cohen,Jonathan D. Cohen
Anitha Pasupathy,University of Washington,Anitha Pasupathy,Anitha Pasupathy,Anitha Pasupathy,Anitha Pasupathy,Anitha Pasupathy,Anitha Pasupathy
Mattia Rigotti,Researcher at IBM Research AI,Mattia Rigotti,Mattia Rigotti,Mattia Rigotti,Mattia Rigotti,Mattia Rigotti,Mattia Rigotti
Andre Moraes Bastos,Department of Psychology and Vanderbilt Brain Institute,Andre Moraes Bastos,Andre Moraes Bastos,Andre Moraes Bastos,Andre Moraes Bastos,Andre Moraes Bastos,Andre Moraes Bastos
Evan G. Antzoulatos,"Center for Neuroscience, UC Davis",Evan G. Antzoulatos,Evan G. Antzoulatos,Evan G. Antzoulatos,Evan G. Antzoulatos,Evan G. Antzoulatos,Evan G. Antzoulatos
Edward Vul,"Associate Professor of Psychology, UCSD",Edward Vul,Edward Vul,Edward Vul,Edward Vul,Edward Vul,Edward Vul
Marc Toussaint,"Professor of Computer Science, TU Berlin, Germany",Marc Toussaint,Marc Toussaint,Marc Toussaint,Marc Toussaint,Marc Toussaint,Marc Toussaint
Peter Battaglia,"Research Scientist, DeepMind",Peter Battaglia,Peter Battaglia,Peter Battaglia,Peter Battaglia,Peter Battaglia,Peter Battaglia
David Huber,"Professor of Psychology, University of Massachusetts, Amherst",David Huber,David Huber,David Huber,David Huber,David Huber,David Huber
Jessica B. Hamrick,Research Scientist at DeepMind,Jessica B. Hamrick,Jessica B. Hamrick,Jessica B. Hamrick,Jessica B. Hamrick,Jessica B. Hamrick,Jessica B. Hamrick
Drew E Walker,"Assistant Teaching Professor, University of California, San Diego",Drew E Walker,Drew E Walker,Drew E Walker,Drew E Walker,Drew E Walker,Drew E Walker
Joshua T. Abbott,Melbourne School of Psychological Sciences,Joshua T. Abbott,Joshua T. Abbott,Joshua T. Abbott,Joshua T. Abbott,Joshua T. Abbott,Joshua T. Abbott
Walter Scheirer,"Dennis O. Doughty Associate Professor of Computer Science and Engineering, University of Notre Dame",Walter Scheirer,Walter Scheirer,Walter Scheirer,Walter Scheirer,Walter Scheirer,Walter Scheirer
James Bergstra,Unknown affiliation,James Bergstra,James Bergstra,James Bergstra,James Bergstra,James Bergstra,James Bergstra
Eleonora Vig,Amazon,Eleonora Vig,Eleonora Vig,Eleonora Vig,Eleonora Vig,Eleonora Vig,Eleonora Vig
Michael Milford,"QUT Professor | Joint Director, QUT Robotics Centre | ARC Laureate Fellow | Microsoft Fellow",Michael Milford,Michael Milford,Michael Milford,Michael Milford,Michael Milford,Michael Milford
Davide Zoccolan,"Scuola Internazionale Superiore di Studi Avanzati (SISSA), Trieste, Italy",Davide Zoccolan,Davide Zoccolan,Davide Zoccolan,Davide Zoccolan,Davide Zoccolan,Davide Zoccolan
Paul Newman,Professor University of Oxford,Paul Newman,Paul Newman,Paul Newman,Paul Newman,Paul Newman,Paul Newman
Tianfan Xue,Google Research,Tianfan Xue,Tianfan Xue,Tianfan Xue,Tianfan Xue,Tianfan Xue,Tianfan Xue
Chuang Gan,MIT/MIT-IBM Watson AI Lab,Chuang Gan,Chuang Gan,Chuang Gan,Chuang Gan,Chuang Gan,Chuang Gan
Jiayuan Mao,MIT CSAIL,Jiayuan Mao,Jiayuan Mao,Jiayuan Mao,Jiayuan Mao,Jiayuan Mao,Jiayuan Mao
Chengkai Zhang,"MEng, MIT",Chengkai Zhang,Chengkai Zhang,Chengkai Zhang,Chengkai Zhang,Chengkai Zhang,Chengkai Zhang
Zhoutong Zhang,"Ph.D. Student, MIT",Zhoutong Zhang,Zhoutong Zhang,Zhoutong Zhang,Zhoutong Zhang,Zhoutong Zhang,Zhoutong Zhang
Pushmeet Kohli,DeepMind,Pushmeet Kohli,Pushmeet Kohli,Pushmeet Kohli,Pushmeet Kohli,Pushmeet Kohli,Pushmeet Kohli
Jun-Yan Zhu,"Assistant Professor,  Carnegie Mellon University",Jun-Yan Zhu,Jun-Yan Zhu,Jun-Yan Zhu,Jun-Yan Zhu,Jun-Yan Zhu,Jun-Yan Zhu
Joseph J. Lim,Assistant Professor at University of Southern California,Joseph J. Lim,Joseph J. Lim,Joseph J. Lim,Joseph J. Lim,Joseph J. Lim,Joseph J. Lim
Xiuming Zhang,Research Scientist at Adobe,Xiuming Zhang,Xiuming Zhang,Xiuming Zhang,Xiuming Zhang,Xiuming Zhang,Xiuming Zhang
Zhuowen Tu,"Professor, Cognitive Science, Computer Science&Engineering, UC San Diego",Zhuowen Tu,Zhuowen Tu,Zhuowen Tu,Zhuowen Tu,Zhuowen Tu,Zhuowen Tu
Yunzhu Li,MIT CSAIL,Yunzhu Li,Yunzhu Li,Yunzhu Li,Yunzhu Li,Yunzhu Li,Yunzhu Li
Xingyuan Sun,"Ph.D. Student, Princeton University",Xingyuan Sun,Xingyuan Sun,Xingyuan Sun,Xingyuan Sun,Xingyuan Sun,Xingyuan Sun
Michael Janner,UC Berkeley,Michael Janner,Michael Janner,Michael Janner,Michael Janner,Michael Janner,Michael Janner
Andrew Owens,"Assistant Professor, University of Michigan",Andrew Owens,Andrew Owens,Andrew Owens,Andrew Owens,Andrew Owens,Andrew Owens
Kexin Yi,Harvard University,Kexin Yi,Kexin Yi,Kexin Yi,Kexin Yi,Kexin Yi,Kexin Yi
Leslie Kaelbling,Unknown affiliation,Leslie Kaelbling,Leslie Kaelbling,Leslie Kaelbling,Leslie Kaelbling,Leslie Kaelbling,Leslie Kaelbling
Charless Fowlkes,"Department of Computer Science, University of California, Irvine",Charless Fowlkes,Charless Fowlkes,Charless Fowlkes,Charless Fowlkes,Charless Fowlkes,Charless Fowlkes
David McAllester,"Professor, Toyota Technological Institute at Chicago",David McAllester,David McAllester,David McAllester,David McAllester,David McAllester,David McAllester
Pedro Felzenszwalb,Brown University,Pedro Felzenszwalb,Pedro Felzenszwalb,Pedro Felzenszwalb,Pedro Felzenszwalb,Pedro Felzenszwalb,Pedro Felzenszwalb
David Forsyth,"Professor of Computer Science, University of Illinois, Urbana Champaign",David Forsyth,David Forsyth,David Forsyth,David Forsyth,David Forsyth,David Forsyth
Yi Yang,"Research Scientist, Google DeepMind",Yi Yang,Yi Yang,Yi Yang,Yi Yang,Yi Yang,Yi Yang
Hamed Pirsiavash,"Associate Professor at University of California, Davis",Hamed Pirsiavash,Hamed Pirsiavash,Hamed Pirsiavash,Hamed Pirsiavash,Hamed Pirsiavash,Hamed Pirsiavash
Peiyun Hu,"PhD Student, Robotics Institute, Carnegie Mellon University",Peiyun Hu,Peiyun Hu,Peiyun Hu,Peiyun Hu,Peiyun Hu,Peiyun Hu
James Steven Supancic Iii,"University of California, Irvine",James Steven Supancic Iii,James Steven Supancic Iii,James Steven Supancic Iii,James Steven Supancic Iii,James Steven Supancic Iii,James Steven Supancic Iii
Carl Vondrick,"Assistant Professor, Columbia University",Carl Vondrick,Carl Vondrick,Carl Vondrick,Carl Vondrick,Carl Vondrick,Carl Vondrick
Xiangxin Zhu,Apple Inc.,Xiangxin Zhu,Xiangxin Zhu,Xiangxin Zhu,Xiangxin Zhu,Xiangxin Zhu,Xiangxin Zhu
Aayush Bansal,"Robotics Institute, Carnegie Mellon University",Aayush Bansal,Aayush Bansal,Aayush Bansal,Aayush Bansal,Aayush Bansal,Aayush Bansal
Rohit Girdhar,"Research Scientist, Facebook AI Research (FAIR)",Rohit Girdhar,Rohit Girdhar,Rohit Girdhar,Rohit Girdhar,Rohit Girdhar,Rohit Girdhar
Dilip Arumugam,Ph.D. Candidate - Stanford University,Dilip Arumugam,Dilip Arumugam,Dilip Arumugam,Dilip Arumugam,Dilip Arumugam,Dilip Arumugam
Yuu Jinnai,Lily MedTech Inc.,Yuu Jinnai,Yuu Jinnai,Yuu Jinnai,Yuu Jinnai,Yuu Jinnai,Yuu Jinnai
D Ellis Hershkowitz,Carnegie Mellon University,D Ellis Hershkowitz,D Ellis Hershkowitz,D Ellis Hershkowitz,D Ellis Hershkowitz,D Ellis Hershkowitz,D Ellis Hershkowitz
James MacGlashan,Sony AI,James MacGlashan,James MacGlashan,James MacGlashan,James MacGlashan,James MacGlashan,James MacGlashan
George Konidaris,Brown,George Konidaris,George Konidaris,George Konidaris,George Konidaris,George Konidaris,George Konidaris
Lawson L.S. Wong,"Assistant Professor, CCIS, Northeastern University",Lawson L.S. Wong,Lawson L.S. Wong,Lawson L.S. Wong,Lawson L.S. Wong,Lawson L.S. Wong,Lawson L.S. Wong
Gabriel Barth-Maron,DeepMind,Gabriel Barth-Maron,Gabriel Barth-Maron,Gabriel Barth-Maron,Gabriel Barth-Maron,Gabriel Barth-Maron,Gabriel Barth-Maron
Kavosh Asadi,"Research Scientist, Amazon Web Services",Kavosh Asadi,Kavosh Asadi,Kavosh Asadi,Kavosh Asadi,Kavosh Asadi,Kavosh Asadi
Lucas Lehnert,Brown University,Lucas Lehnert,Lucas Lehnert,Lucas Lehnert,Lucas Lehnert,Lucas Lehnert,Lucas Lehnert
Mark Ho,"Postdoctoral Researcher, Princeton University",Mark Ho,Mark Ho,Mark Ho,Mark Ho,Mark Ho,Mark Ho
Doina Precup,DeepMind and McGill University,Doina Precup,Doina Precup,Doina Precup,Doina Precup,Doina Precup,Doina Precup
Khimya Khetarpal,"Ph.D. Candidate, McGill University / Mila Montreal",Khimya Khetarpal,Khimya Khetarpal,Khimya Khetarpal,Khimya Khetarpal,Khimya Khetarpal,Khimya Khetarpal
Owain Evans,"Research Fellow, University of Oxford",Owain Evans,Owain Evans,Owain Evans,Owain Evans,Owain Evans,Owain Evans
Andreas Stuhlmüller,Ought,Andreas Stuhlmüller,Andreas Stuhlmüller,Andreas Stuhlmüller,Andreas Stuhlmüller,Andreas Stuhlmüller,Andreas Stuhlmüller
Jee Won Kyra Park,Brown University,Jee Won Kyra Park,Jee Won Kyra Park,Jee Won Kyra Park,Jee Won Kyra Park,Jee Won Kyra Park,Jee Won Kyra Park
Yue (Sophie) Guo,Carnegie Mellon University,Yue (Sophie) Guo,Yue (Sophie) Guo,Yue (Sophie) Guo,Yue (Sophie) Guo,Yue (Sophie) Guo,Yue (Sophie) Guo
Diane Beck,"Professor of Psychology, University of Illinois",Diane Beck,Diane Beck,Diane Beck,Diane Beck,Diane Beck,Diane Beck
Ueli Rutishauser,"Cedars-Sinai Medical Center, and Caltech",Ueli Rutishauser,Ueli Rutishauser,Ueli Rutishauser,Ueli Rutishauser,Ueli Rutishauser,Ueli Rutishauser
Duane R Edgington,"Software Engineering Group Lead, Monterey Bay Aquarium Research Institute (MBARI)",Duane R Edgington,Duane R Edgington,Duane R Edgington,Duane R Edgington,Duane R Edgington,Duane R Edgington
Heeyoung Choo,"Postdoctoral research fellow, Beckman Institute, University of Illinois at Urbana-Champaign",Heeyoung Choo,Heeyoung Choo,Heeyoung Choo,Heeyoung Choo,Heeyoung Choo,Heeyoung Choo
Arthur Kramer,"Professor and Director, Northeastern University, Emeritus Prof,  Univ. Illinois",Arthur Kramer,Arthur Kramer,Arthur Kramer,Arthur Kramer,Arthur Kramer,Arthur Kramer
Michelle Voss,"Psychological and Brain Sciences, The University of Iowa",Michelle Voss,Michelle Voss,Michelle Voss,Michelle Voss,Michelle Voss,Michelle Voss
Tony X. Han,University of Missouri,Tony X. Han,Tony X. Han,Tony X. Han,Tony X. Han,Tony X. Han,Tony X. Han
Monica Fabiani,"Professor of Psychology and Neuroscience, University of Illinois at Urbana-Champaign",Monica Fabiani,Monica Fabiani,Monica Fabiani,Monica Fabiani,Monica Fabiani,Monica Fabiani
Hyunkyu Lee,"Research Scientist, Brain Plasticity Institute, Posit science",Hyunkyu Lee,Hyunkyu Lee,Hyunkyu Lee,Hyunkyu Lee,Hyunkyu Lee,Hyunkyu Lee
Daniel J. Simons,"Professor of Psychology, University of Illinois",Daniel J. Simons,Daniel J. Simons,Daniel J. Simons,Daniel J. Simons,Daniel J. Simons,Daniel J. Simons
Walter R. Boot,Florida State University,Walter R. Boot,Walter R. Boot,Walter R. Boot,Walter R. Boot,Walter R. Boot,Walter R. Boot
Bradley P. Sutton,"Professor, Bioengineering and Beckman Institute, University of Illinois at Urbana",Bradley P. Sutton,Bradley P. Sutton,Bradley P. Sutton,Bradley P. Sutton,Bradley P. Sutton,Bradley P. Sutton
Kirk Erickson,University of Pittsburgh,Kirk Erickson,Kirk Erickson,Kirk Erickson,Kirk Erickson,Kirk Erickson,Kirk Erickson
Mark Hasegawa-Johnson,"Professor of Electrical and Computer Engineering, University of Illinois",Mark Hasegawa-Johnson,Mark Hasegawa-Johnson,Mark Hasegawa-Johnson,Mark Hasegawa-Johnson,Mark Hasegawa-Johnson,Mark Hasegawa-Johnson
Kaiming He,"Research Scientist, Facebook AI Research (FAIR)",Kaiming He,Kaiming He,Kaiming He,Kaiming He,Kaiming He,Kaiming He
Georgia Gkioxari,"UC Berkeley, Facebook AI Research",Georgia Gkioxari,Georgia Gkioxari,Georgia Gkioxari,Georgia Gkioxari,Georgia Gkioxari,Georgia Gkioxari
Saining Xie,"Research Scientist, Facebook AI Research (FAIR)",Saining Xie,Saining Xie,Saining Xie,Saining Xie,Saining Xie,Saining Xie
bharath hariharan,Cornell University,bharath hariharan,bharath hariharan,bharath hariharan,bharath hariharan,bharath hariharan,bharath hariharan
Priya Goyal,"Staff Research Engineer, Facebook AI Research",Priya Goyal,Priya Goyal,Priya Goyal,Priya Goyal,Priya Goyal,Priya Goyal
Vincent Rabaud,Google,Vincent Rabaud,Vincent Rabaud,Vincent Rabaud,Vincent Rabaud,Vincent Rabaud,Vincent Rabaud
Bernt Schiele,"Professor, Max Planck Institute for Informatics, Saarland Informatics Campus, Saarland University",Bernt Schiele,Bernt Schiele,Bernt Schiele,Bernt Schiele,Bernt Schiele,Bernt Schiele
Xavier P. Burgos-Artizzu,MovumTech,Xavier P. Burgos-Artizzu,Xavier P. Burgos-Artizzu,Xavier P. Burgos-Artizzu,Xavier P. Burgos-Artizzu,Xavier P. Burgos-Artizzu,Xavier P. Burgos-Artizzu
Dayu Lin,"Associate Professor of Neuroscience, New York University School of Medicine",Dayu Lin,Dayu Lin,Dayu Lin,Dayu Lin,Dayu Lin,Dayu Lin
Christian Wojek,ZEISS,Christian Wojek,Christian Wojek,Christian Wojek,Christian Wojek,Christian Wojek,Christian Wojek
Alexander Kirillov,"Research Scientist, Facebook AI Research (FAIR)",Alexander Kirillov,Alexander Kirillov,Alexander Kirillov,Alexander Kirillov,Alexander Kirillov,Alexander Kirillov
Shuai Lu,"School of Mathematical Sciences, Fudan University, China",Shuai Lu,Shuai Lu,Shuai Lu,Shuai Lu,Shuai Lu,Shuai Lu
Valeriya Naumova,Simula Research Laboratory,Valeriya Naumova,Valeriya Naumova,Valeriya Naumova,Valeriya Naumova,Valeriya Naumova,Valeriya Naumova
Helmut Harbrecht,University of Basel,Helmut Harbrecht,Helmut Harbrecht,Helmut Harbrecht,Helmut Harbrecht,Helmut Harbrecht,Helmut Harbrecht
Michael V. Klibanov,"Professor of Mathematics, University of North Carolina at Charlotte, Charlotte",Michael V. Klibanov,Michael V. Klibanov,Michael V. Klibanov,Michael V. Klibanov,Michael V. Klibanov,Michael V. Klibanov
Raytcho Lazarov,"Professor of Mathematics, Texas A&M University and Professor Emeritus, Bulgarian Academy of Sciences",Raytcho Lazarov,Raytcho Lazarov,Raytcho Lazarov,Raytcho Lazarov,Raytcho Lazarov,Raytcho Lazarov
Michael E Hughes,"Assistant Professor, Washington University School of Medicine",Michael E Hughes,Michael E Hughes,Michael E Hughes,Michael E Hughes,Michael E Hughes,Michael E Hughes
Garret A. FitzGerald,U. Penn,Garret A. FitzGerald,Garret A. FitzGerald,Garret A. FitzGerald,Garret A. FitzGerald,Garret A. FitzGerald,Garret A. FitzGerald
Joseph S. Takahashi,"Department of Neuroscience, Howard Hughes Medical Institute, University of Texas Southwestern",Joseph S. Takahashi,Joseph S. Takahashi,Joseph S. Takahashi,Joseph S. Takahashi,Joseph S. Takahashi,Joseph S. Takahashi
Teresa M. Reyes,University of Pennsylvania,Teresa M. Reyes,Teresa M. Reyes,Teresa M. Reyes,Teresa M. Reyes,Teresa M. Reyes,Teresa M. Reyes
Hilmar Lapp,"Director of Informatics, Center for Genomic and Computational Biology, Duke University",Hilmar Lapp,Hilmar Lapp,Hilmar Lapp,Hilmar Lapp,Hilmar Lapp,Hilmar Lapp
Anthony Olarerin-George,Weill Cornell Medical College,Anthony Olarerin-George,Anthony Olarerin-George,Anthony Olarerin-George,Anthony Olarerin-George,Anthony Olarerin-George,Anthony Olarerin-George
paul sawchenko,the salk institute,paul sawchenko,paul sawchenko,paul sawchenko,paul sawchenko,paul sawchenko,paul sawchenko
Anand Venkataraman,ZS Associates,Anand Venkataraman,Anand Venkataraman,Anand Venkataraman,Anand Venkataraman,Anand Venkataraman,Anand Venkataraman
Andrew Chuanyin Liu,University of Florida College of Medicine,Andrew Chuanyin Liu,Andrew Chuanyin Liu,Andrew Chuanyin Liu,Andrew Chuanyin Liu,Andrew Chuanyin Liu,Andrew Chuanyin Liu
Annie Curtis,Royal College of Surgeons in Ireland,Annie Curtis,Annie Curtis,Annie Curtis,Annie Curtis,Annie Curtis,Annie Curtis
Kevin Hayes,Corteva Agriscience,Kevin Hayes,Kevin Hayes,Kevin Hayes,Kevin Hayes,Kevin Hayes,Kevin Hayes
Mathew T. Pletcher,"Rare Disease Research Unit, Pfizer",Mathew T. Pletcher,Mathew T. Pletcher,Mathew T. Pletcher,Mathew T. Pletcher,Mathew T. Pletcher,Mathew T. Pletcher
Angel Pizarro,University of Pennsylvania,Angel Pizarro,Angel Pizarro,Angel Pizarro,Angel Pizarro,Angel Pizarro,Angel Pizarro
Hiroki R. Ueda,University of Tokyo / RIKEN,Hiroki R. Ueda,Hiroki R. Ueda,Hiroki R. Ueda,Hiroki R. Ueda,Hiroki R. Ueda,Hiroki R. Ueda
Ibrahim HALIL KAVAKLI,Koc University,Ibrahim HALIL KAVAKLI,Ibrahim HALIL KAVAKLI,Ibrahim HALIL KAVAKLI,Ibrahim HALIL KAVAKLI,Ibrahim HALIL KAVAKLI,Ibrahim HALIL KAVAKLI
Simon J. Thorpe,"CNRS Research Director (DRCE2), CerCo (CNRS-UT3), TMBI (Univ. Toulouse), France",Simon J. Thorpe,Simon J. Thorpe,Simon J. Thorpe,Simon J. Thorpe,Simon J. Thorpe,Simon J. Thorpe
Niko Busch,"University of Muenster, Institute of Psychology",Niko Busch,Niko Busch,Niko Busch,Niko Busch,Niko Busch,Niko Busch
Maximilien Chaumon,Research associate at Institut du Cerveau et de la Moelle épinière (ICM),Maximilien Chaumon,Maximilien Chaumon,Maximilien Chaumon,Maximilien Chaumon,Maximilien Chaumon,Maximilien Chaumon
Maxime Cauchoix,"IAST, SETE, TMBI (Univ. Toulouse)",Maxime Cauchoix,Maxime Cauchoix,Maxime Cauchoix,Maxime Cauchoix,Maxime Cauchoix,Maxime Cauchoix
Luca Iemi,Columbia University in the City of New York,Luca Iemi,Luca Iemi,Luca Iemi,Luca Iemi,Luca Iemi,Luca Iemi
Chien-Te Wu,"International Research Center for Neurointelligence, University of Tokyo",Chien-Te Wu,Chien-Te Wu,Chien-Te Wu,Chien-Te Wu,Chien-Te Wu,Chien-Te Wu
Morten Overgaard,"Professor and head of CNRU, Aarhus Institute of Advanced Studies & CFIN, Aarhus University",Morten Overgaard,Morten Overgaard,Morten Overgaard,Morten Overgaard,Morten Overgaard,Morten Overgaard
Samson Chota,Utrecht University,Samson Chota,Samson Chota,Samson Chota,Samson Chota,Samson Chota,Samson Chota
Ricardo Kienitz,"Epilepsy Center Frankfurt Rhine Main, Department of Neurology, Goethe-University Frankfurt am Main",Ricardo Kienitz,Ricardo Kienitz,Ricardo Kienitz,Ricardo Kienitz,Ricardo Kienitz,Ricardo Kienitz
Canhuang Luo,"University of Nevada, Reno",Canhuang Luo,Canhuang Luo,Canhuang Luo,Canhuang Luo,Canhuang Luo,Canhuang Luo
Lyudmyla Y. Kovalenko,"Berlin School of Mind and Brain, Charité-Universitätsmedizin Berlin",Lyudmyla Y. Kovalenko,Lyudmyla Y. Kovalenko,Lyudmyla Y. Kovalenko,Lyudmyla Y. Kovalenko,Lyudmyla Y. Kovalenko,Lyudmyla Y. Kovalenko
