name,affiliation,home_page,google_profile,keywords,most_cited_paper,cited_by,most_cited_year
Sébastien Hélie,Purdue University,Sébastien Hélie,Sébastien Hélie,Sébastien Hélie,Sébastien Hélie,Sébastien Hélie,Sébastien Hélie
Jiajun Wu,Stanford University,Jiajun Wu,Jiajun Wu,Jiajun Wu,Jiajun Wu,Jiajun Wu,Jiajun Wu
Deva Ramanan,"Professor, Robotics Institute, Carnegie Mellon University",Deva Ramanan,Deva Ramanan,Deva Ramanan,Deva Ramanan,Deva Ramanan,Deva Ramanan
David Abel,"Research Scientist, DeepMind",David Abel,David Abel,David Abel,David Abel,David Abel,David Abel
Dirk B. Walther (Dirk Bernhardt-Walther),"Department of Psychology, University of Toronto",Dirk B. Walther (Dirk Bernhardt-Walther),Dirk B. Walther (Dirk Bernhardt-Walther),Dirk B. Walther (Dirk Bernhardt-Walther),Dirk B. Walther (Dirk Bernhardt-Walther),Dirk B. Walther (Dirk Bernhardt-Walther),Dirk B. Walther (Dirk Bernhardt-Walther)
Piotr Dollár,Facebook AI Research,Piotr Dollár,Piotr Dollár,Piotr Dollár,Piotr Dollár,Piotr Dollár,Piotr Dollár
John Duncan,"Programme Leader, MRC Cognition and Brain Sciences Unit",John Duncan,John Duncan,John Duncan,John Duncan,John Duncan,John Duncan
Sergei Pereverzev,"Professor, Johann Radon Institute for Computational and Applied Mathematics, Austrian Academy of",Sergei Pereverzev,Sergei Pereverzev,Sergei Pereverzev,Sergei Pereverzev,Sergei Pereverzev,Sergei Pereverzev
Albert Huang,Unknown affiliation,Albert Huang,Albert Huang,Albert Huang,Albert Huang,Albert Huang,Albert Huang
John B. Hogenesch,"Professor and Interim Director, Division of Human Genetics, Professor of Immunobiology, CCHMC",John B. Hogenesch,John B. Hogenesch,John B. Hogenesch,John B. Hogenesch,John B. Hogenesch,John B. Hogenesch
Sébastien Crouzet,Brainchip Inc,Sébastien Crouzet,Sébastien Crouzet,Sébastien Crouzet,Sébastien Crouzet,Sébastien Crouzet,Sébastien Crouzet
Thomas Serre,Brown University and ANR-3IA Artificial and Natural Intelligence Toulouse Institute,Thomas Serre,Thomas Serre,Thomas Serre,Thomas Serre,Thomas Serre,Thomas Serre
Rodrigo Quian Quiroga,University of Leicester,Rodrigo Quian Quiroga,Rodrigo Quian Quiroga,Rodrigo Quian Quiroga,Rodrigo Quian Quiroga,Rodrigo Quian Quiroga,Rodrigo Quian Quiroga
Ethan Meyers,"Visiting Associate Professor of Statistics and Data Science, Yale University",Ethan Meyers,Ethan Meyers,Ethan Meyers,Ethan Meyers,Ethan Meyers,Ethan Meyers
Ashis Gopal Banerjee,"Associate Professor, University of Washington",Ashis Gopal Banerjee,Ashis Gopal Banerjee,Ashis Gopal Banerjee,Ashis Gopal Banerjee,Ashis Gopal Banerjee,Ashis Gopal Banerjee
Thomas L. Griffiths,"Professor of Psychology and Computer Science, Princeton University",Thomas L. Griffiths,Thomas L. Griffiths,Thomas L. Griffiths,Thomas L. Griffiths,Thomas L. Griffiths,Thomas L. Griffiths
Tomer Ullman,"Assistant Professor, Harvard",Tomer Ullman,Tomer Ullman,Tomer Ullman,Tomer Ullman,Tomer Ullman,Tomer Ullman
Chou P. Hung,"Neuroscientist, Army Research Lab, HRED",Chou P. Hung,Chou P. Hung,Chou P. Hung,Chou P. Hung,Chou P. Hung,Chou P. Hung
Drew Linsley,Brown University,Drew Linsley,Drew Linsley,Drew Linsley,Drew Linsley,Drew Linsley,Drew Linsley
Joshua B. Tenenbaum,MIT,Joshua B. Tenenbaum,Joshua B. Tenenbaum,Joshua B. Tenenbaum,Joshua B. Tenenbaum,Joshua B. Tenenbaum,Joshua B. Tenenbaum
